date,ticker,price
2024-01-01,AAPL,149.2869496841233
2024-01-02,AAPL,148.1624088034436
2024-01-03,AAPL,149.13482085417013
2024-01-04,AAPL,150.84448785923632
2024-01-05,AAPL,151.0091694942366
2024-01-06,AAPL,151.12230957318064
2024-01-07,AAPL,150.13058627655076
2024-01-08,AAPL,149.0309757556637
2024-01-09,AAPL,147.85045155547087
2024-01-10,AAPL,147.17994411862693
2024-01-11,AAPL,146.64362827834591
2024-01-12,AAPL,148.1555652939623
2024-01-13,AAPL,147.53255627418417
2024-01-14,AAPL,148.80179243374374
2024-01-15,AAPL,149.40113544978462
2024-01-16,AAPL,148.5524975881888
2024-01-17,AAPL,147.64553428379458
2024-01-18,AAPL,148.10347616317318
2024-01-19,AAPL,148.3789234955671
2024-01-20,AAPL,147.29808001364054
